video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds,published_year,published_month,published_day,published_weekday,is_weekend,like_ratio,comment_ratio,title_length,days_since_published,channel_age_years
TsnGd6p9oTk,installing r and r studio r for data analytics series,2025-06-17 12:00:48,2787,114,9,359.0,2025,6,17,Tuesday,0,0.04090419806243272,0.0032292787944025836,53,6,5
DsI1vG-kXR8,best resources to learn data analytics in 2025,2025-06-10 12:00:19,16190,758,33,407.0,2025,6,10,Tuesday,0,0.04681902408894379,0.002038295243977764,46,13,5
4lhPHhPkVLM,best resources to learn data visualization in 2025,2025-06-03 12:00:19,10229,306,28,268.0,2025,6,3,Tuesday,0,0.029914947697722162,0.002737315475608564,50,20,5
dkU5n0G7FRQ,best resources to learn excel in 2025,2025-05-27 12:01:27,11340,569,15,289.0,2025,5,27,Tuesday,0,0.05017636684303351,0.0013227513227513227,37,27,5
kagUDLvrcZ8,best resources to learn python in 2025,2025-05-20 12:01:32,18442,707,54,309.0,2025,5,20,Tuesday,0,0.03833640602971478,0.0029280989046741135,38,34,5
P5uJYPjUtlc,best resources to learn sql in 2025,2025-05-13 12:00:49,22206,824,35,371.0,2025,5,13,Tuesday,0,0.03710708817436729,0.0015761505899306494,35,41,5
dStNNjOKML4,how to practice for general technical interviews analyst builder,2025-05-06 12:01:11,4387,168,18,621.0,2025,5,6,Tuesday,0,0.038294962388876225,0.004103031684522453,64,48,5
OQM9x6E3ojo,how to lie with data biased data collection,2025-04-29 12:00:46,3128,100,11,262.0,2025,4,29,Tuesday,0,0.0319693094629156,0.003516624040920716,43,55,5
z39SB95JbDo,how to lie with data correlations,2025-04-22 12:01:50,3280,126,15,213.0,2025,4,22,Tuesday,0,0.03841463414634146,0.004573170731707317,33,62,5
W5CQb7klLCs,how to lie with data cherry picking data,2025-04-15 12:00:53,3673,153,8,252.0,2025,4,15,Tuesday,0,0.04165532262455758,0.0021780560849441874,40,69,5
xb5-UX-jYw0,how to lie with data averages,2025-04-08 12:01:32,4176,216,14,407.0,2025,4,8,Tuesday,0,0.05172413793103448,0.003352490421455939,29,76,5
V3ouFOBQP0k,how to lie with data percentages and baseline numbers,2025-04-01 12:00:46,4379,216,9,318.0,2025,4,1,Tuesday,0,0.049326330212377256,0.0020552637588490525,53,83,5
oi9W142ELN0,1 million youtube play button unboxing!,2025-03-25 12:01:10,3085,236,79,460.0,2025,3,25,Tuesday,0,0.07649918962722853,0.02560777957860616,39,90,5
5n52mlp9Ym0,maven analytics analyst builder lifetime access ends march 31st,2025-03-24 12:00:07,8650,255,41,315.0,2025,3,24,Monday,0,0.029479768786127167,0.004739884393063584,63,91,5
hgp91KvbJV4,how to lie with data misleading graphs,2025-03-18 12:01:07,5288,281,22,326.0,2025,3,18,Tuesday,0,0.05313918305597579,0.00416036308623298,38,97,5
1ql4kNv0_qY,where to find the best healthcare data,2025-03-11 12:00:02,7490,398,24,471.0,2025,3,11,Tuesday,0,0.05313751668891856,0.0032042723631508676,38,104,5
r5512UY3MTc,1 million subscriber livestream!! giveaways chat,2025-03-05 17:07:10,10277,675,68,6014.0,2025,3,5,Wednesday,0,0.06568064610294833,0.006616716940741461,48,109,5
XuOcmjIbFGg,"taking a look at real healthcare data icd11, cpt, hcpcs, claims",2025-03-04 13:00:44,8669,406,28,916.0,2025,3,4,Tuesday,0,0.04683354481485754,0.003229899642403968,63,111,5
Ka2mDrKEAhg,how to become a healthcare analyst in 2025,2025-02-25 13:00:21,27046,1343,108,1072.0,2025,2,25,Tuesday,0,0.0496561413887451,0.003993196775863344,42,118,5
k8nBWL6K884,what is healthcare analytics?,2025-02-18 13:01:11,26802,1313,79,656.0,2025,2,18,Tuesday,0,0.048988881426759195,0.0029475412282665473,29,125,5
WpX2F2BS3Qc,what is data cleaning? data fundamentals for beginners,2025-02-11 13:00:47,22087,770,26,424.0,2025,2,11,Tuesday,0,0.03486213609815729,0.0011771630370806356,54,132,5
cd_jj0IRmaA,what is data collection? data fundamentals for beginners,2025-02-04 13:00:52,12895,511,14,283.0,2025,2,4,Tuesday,0,0.03962776269872043,0.0010856921287320668,56,139,5
OcG0B4ny1cE,what are file types? data fundamentals for beginners,2025-01-28 13:00:34,9130,342,9,387.0,2025,1,28,Tuesday,0,0.03745892661555312,0.0009857612267250822,52,146,5
hXpt8zj_ajc,what are data types? data fundamentals for beginners,2025-01-21 13:00:55,10024,407,19,294.0,2025,1,21,Tuesday,0,0.040602553870710295,0.0018954509177972864,52,153,5
ItZlTixh6Bs,what are kpis and metrics? data fundamental for beginners,2025-01-14 13:00:34,17435,876,31,346.0,2025,1,14,Tuesday,0,0.050243762546601664,0.0017780326928591914,57,160,5
PEWMgtu-1e4,what is data? data fundamentals for beginners,2025-01-07 13:00:35,17804,819,34,416.0,2025,1,7,Tuesday,0,0.04600089867445518,0.0019096832172545495,45,167,5
hCmEfxy-BXg,is big tech overrated in 2025? alex the analyst show episode 28,2024-12-31 13:01:01,8767,303,69,2092.0,2024,12,31,Tuesday,0,0.03456142352001825,0.007870423177825938,63,174,5
TtCBz1lutsY,most commonly asked questions by aspiring data analysts,2024-12-24 13:00:39,14947,722,36,718.0,2024,12,24,Tuesday,0,0.04830400749314244,0.0024085100689101493,55,181,5
Ihmq-qeA5Pc,my career progression 7 years recreational therapist to data analyst alex the analyst show 27,2024-12-17 13:30:12,8483,375,124,2237.0,2024,12,17,Tuesday,0,0.04420605917717788,0.014617470234586821,93,188,5
wQQR60KtnFY,"ultimate data analyst bootcamp 24 hours! for free sql, excel, tableau, power bi, python, azure",2024-12-10 05:00:49,570158,24174,856,84768.0,2024,12,10,Tuesday,0,0.0423987736732625,0.0015013382255444983,94,195,5
oHte3qFa-oY,"learn aws for analytics in under 2 hours s3, athena, glue, glue databrew, quicksight",2024-12-03 13:00:56,21616,646,37,6097.0,2024,12,3,Tuesday,0,0.029885270170244265,0.0017116950407105847,84,202,5
P7p2OZj9ewU,"learn azure for analytics in under 90 minutes azure synapse analytics, sql databases, adf more",2024-11-26 13:00:27,15361,382,24,4637.0,2024,11,26,Tuesday,0,0.02486817264501009,0.0015623982813618906,94,209,5
I0vQ_VLZTWg,"learn power bi in under 3 hours formatting, visualizations, dashboards full project",2024-11-19 13:00:31,309615,5226,176,7518.0,2024,11,19,Tuesday,0,0.01687902717891575,0.0005684479111154175,83,216,5
tnz72ywhCoo,coding with r and ai now on analyst builder!,2024-11-12 13:01:10,5996,186,16,501.0,2024,11,12,Tuesday,0,0.031020680453635756,0.00266844563042028,44,223,5
j8FSP8XuFyk,"learn tableau in under 2 hours dashboards, relationships, visualizations mini project",2024-11-05 13:01:16,120798,2242,71,5410.0,2024,11,5,Tuesday,0,0.018559909932283646,0.0005877580754648255,85,230,5
zXnQNytHCPM,"learn excel in under 3 hours pivot tables, lookups, data cleaning",2024-10-29 12:01:19,67517,1721,74,9516.0,2024,10,29,Tuesday,0,0.025489876623665152,0.0010960202615637542,65,237,5
osA1QpBcxRs,nobody cares... so just do it!,2024-10-24 12:17:57,18810,1836,61,36.0,2024,10,24,Thursday,0,0.09760765550239234,0.003242955874534822,30,242,5
Mdq1WWSdUtw,"learn pandas in under 3 hours filtering, joins, indexing, data cleaning, visualizations",2024-10-22 12:00:28,66946,1636,50,9607.0,2024,10,22,Tuesday,0,0.02443760642906223,0.0007468706121351537,87,244,5
CZt2BUpgjgw,free data analyst bootcamp 2024,2024-10-17 11:52:50,12693,1042,40,31.0,2024,10,17,Thursday,0,0.08209249192468289,0.0031513432600646027,31,249,5
t1fQBD4B7xk,"learn python in under 3 hours variables, for loops, web scraping full project",2024-10-15 12:01:10,46716,1297,43,9121.0,2024,10,15,Tuesday,0,0.027763507149584726,0.0009204555184519223,77,251,5
OT1RErkfLNQ,learn sql beginner to advanced in under 4 hours,2024-10-08 12:00:27,692941,15284,590,14698.0,2024,10,8,Tuesday,0,0.022056711898992845,0.0008514433407750444,47,258,5
rxyLC247h6E,aws quicksight aws essentials,2024-10-01 12:00:58,21428,311,9,730.0,2024,10,1,Tuesday,0,0.014513720365876424,0.00042001120029867465,29,265,5
AycpRKyRagE,aws glue databrew and glue aws essentials,2024-09-24 12:00:16,9372,161,12,2732.0,2024,9,24,Tuesday,0,0.01717883055911225,0.0012804097311139564,41,272,5
K2GfrERtliU,amazon athena in aws aws fundamentals,2024-09-17 12:00:24,14516,265,10,1473.0,2024,9,17,Tuesday,0,0.01825571782860292,0.0006888950124001103,37,279,5
xmVyaT-RuVo,alex freberg and ben rogojan livestream everything data analytics and data engineering,2024-09-11 03:20:13,5971,198,8,4516.0,2024,9,11,Wednesday,0,0.03316027466086083,0.001339809077206498,86,285,5
amb9bciHGSI,landing a data job course on analyst builder,2024-09-03 12:00:05,23907,822,96,500.0,2024,9,3,Tuesday,0,0.034383235035763585,0.004015560296147572,44,293,5
hgaVi4sOHkM,s3 storage in aws aws essentials,2024-08-27 12:00:47,10581,198,12,878.0,2024,8,27,Tuesday,0,0.018712787071165297,0.0011341083073433513,32,300,5
YSjbGET6R1A,aws setup and ui walkthough aws,2024-08-20 12:00:41,12325,289,15,441.0,2024,8,20,Tuesday,0,0.023448275862068966,0.0012170385395537525,31,307,5
vDVcXXfc9e8,getting started in azure synapse analytics azure fundamentals,2024-08-13 12:01:05,27093,385,14,1177.0,2024,8,13,Tuesday,0,0.014210312626877792,0.0005167386409773742,61,314,5
Vg6ys_JvXzg,august qa livestream! come ask me anything!,2024-08-09 15:17:26,5326,223,18,5904.0,2024,8,9,Friday,0,0.041870071348103645,0.003379647014645137,43,318,5
sge9qTf8GdY,getting started in azure data factory azure fundamentals,2024-08-06 12:00:57,34656,542,26,1471.0,2024,8,6,Tuesday,0,0.015639427516158818,0.0007502308402585411,56,321,5
9ur0OpMADuM,how to use azure sql databases azure fundamentals,2024-07-30 12:00:10,39863,701,27,826.0,2024,7,30,Tuesday,0,0.017585229410731755,0.000677319820384818,49,328,5
UTMuL_86gSQ,complete data analyst roadmap on analyst builder become a data analyst faster!,2024-07-25 12:00:34,56352,1604,165,367.0,2024,7,25,Thursday,0,0.028463940942646225,0.002928023850085179,78,333,5
sEImMaovc1Q,blob storage and storage accounts in azure azure fundamentals,2024-07-23 12:01:00,13362,251,11,941.0,2024,7,23,Tuesday,0,0.01878461308187397,0.000823230055380931,61,335,5
ZYps6TmBkWk,azure account setup 200 free credits azure fundamentals,2024-07-16 12:00:38,23261,490,30,397.0,2024,7,16,Tuesday,0,0.021065302437556426,0.0012897123941361076,55,342,5
zv1nfZTYpio,building a fully interactive web app using shiny for python,2024-07-09 12:01:07,14929,373,23,3592.0,2024,7,9,Tuesday,0,0.02498492866233505,0.0015406256279724027,59,349,5
rn0dSsYXhIE,shiny for python components and layouts customizing you web app,2024-07-02 12:01:00,6064,170,13,1448.0,2024,7,2,Tuesday,0,0.028034300791556728,0.0021437994722955144,63,356,5
siHou7lObbo,shiny for python setup and install deploying first shiny app,2024-06-25 12:00:53,13810,334,38,864.0,2024,6,25,Tuesday,0,0.024185372918175234,0.0027516292541636496,60,363,5
wJiJXD7MVoY,is the economy on the brink of a recession? lets look at the data!,2024-06-18 12:00:06,13746,812,133,1279.0,2024,6,18,Tuesday,0,0.05907172995780591,0.009675541975847518,66,370,5
BzwAZ1k3WEY,top 5 most common excel functions in excel,2024-06-11 12:00:10,8979,380,9,1007.0,2024,6,11,Tuesday,0,0.04232097115491703,0.0010023387905111927,42,377,5
5q2u8__sVhs,5 awesome excel functions youve probably never heard of,2024-06-04 12:00:09,6424,237,17,844.0,2024,6,4,Tuesday,0,0.03689290161892902,0.002646326276463263,55,384,5
UJbNEH0_nGY,how to create custom functions in excel lambda functions,2024-05-28 12:00:23,7450,239,11,994.0,2024,5,28,Tuesday,0,0.03208053691275168,0.001476510067114094,56,391,5
oz2K4HUNMW4,top 5 most popular functions in microsoft excel,2024-05-21 12:00:53,16292,453,28,992.0,2024,5,21,Tuesday,0,0.027805057697029217,0.001718634912840658,47,398,5
Y-4ri9QjsTI,infrastructure of analyst builder entire tech stack part 3,2024-05-14 12:00:28,5773,90,10,2740.0,2024,5,14,Tuesday,0,0.015589814654425774,0.0017322016282695306,58,405,5
F5v2dRYU5IA,2 hour data analyst interview masterclass interview better than the competition,2024-05-07 15:16:53,107520,3358,83,7480.0,2024,5,7,Tuesday,0,0.03123139880952381,0.0007719494047619047,79,412,5
_R6K1aNtKpE,challenges of creating analyst builder challenges of a startup part 2,2024-05-07 12:00:30,2545,65,11,2707.0,2024,5,7,Tuesday,0,0.025540275049115914,0.004322200392927309,69,412,5
5tKmTdvEAVk,how we started analyst builder how we created it part 1,2024-04-30 12:00:07,6744,215,35,1367.0,2024,4,30,Tuesday,0,0.031880189798339266,0.005189798339264531,55,419,5
QYd-RtK58VQ,mysql exploratory data analysis full project,2024-04-23 12:00:21,127268,2986,140,1964.0,2024,4,23,Tuesday,0,0.023462300028286764,0.0011000408586604646,44,426,5
c5ko0sedE7k,750k subscriber livestream! giveaways songs qa,2024-04-18 18:35:41,5189,229,13,4996.0,2024,4,18,Thursday,0,0.044131817305839274,0.002505299672383889,46,430,5
4UltKCnnnTA,data cleaning in mysql full project,2024-04-16 12:00:05,305880,6603,954,3071.0,2024,4,16,Tuesday,0,0.02158689682228325,0.003118870145154963,35,433,5
BV5ckMNNvi4,how to get promoted as a data analyst alex the analyst show episode 26,2024-04-09 12:00:08,9025,283,86,3374.0,2024,4,9,Tuesday,0,0.03135734072022161,0.009529085872576178,70,440,5
QMUZ5HfWMRc,triggers and events in mysql advanced mysql series,2024-04-02 12:00:19,112900,3614,141,882.0,2024,4,2,Tuesday,0,0.03201062887511072,0.0012488928255093002,50,447,5
7b8ViCqD9JM,how to give up on the job search fast,2024-03-27 12:19:35,28525,2125,33,52.0,2024,3,27,Wednesday,0,0.07449605609114812,0.0011568799298860648,37,453,5
7vnxpcqmqNQ,stored procedures in mysql advanced mysql series,2024-03-26 12:00:12,118137,2257,77,757.0,2024,3,26,Tuesday,0,0.019104937487831923,0.0006517856387076022,48,454,5
uEk07jXdKOo,temp tables in mysql advanced mysql series,2024-03-19 12:00:56,79794,1670,65,466.0,2024,3,19,Tuesday,0,0.02092889189663383,0.0008145975887911372,42,461,5
UC7uvOqcUTs,ctes in mysql advanced mysql series,2024-03-12 12:00:23,135925,2240,70,631.0,2024,3,12,Tuesday,0,0.016479676292072833,0.000514989884127276,35,468,5
1KEbiqRWOkA,7 mistakes to avoid during your data analyst job search,2024-03-05 13:00:01,19994,753,50,714.0,2024,3,5,Tuesday,0,0.03766129838951685,0.00250075022506752,55,475,5
UOBTLzWY1vs,dataanalyst analystbuilder sql,2024-03-01 13:43:29,22028,1517,20,38.0,2024,3,1,Friday,0,0.0688668966769566,0.0009079353550027238,30,479,5
8zOkBTs0yxs,qa livestream february livestream ask me anything!,2024-02-29 17:10:18,5628,188,7,5697.0,2024,2,29,Thursday,0,0.033404406538734895,0.0012437810945273632,50,479,5
7NBt0V8ebGk,window functions in mysql intermediate mysql,2024-02-27 13:00:08,157073,4226,119,809.0,2024,2,27,Tuesday,0,0.02690468762931885,0.0007576095191407817,44,482,5
FGC0cCAgGu0,twitter making me tear up over here,2024-02-23 13:34:27,7553,306,12,16.0,2024,2,23,Friday,0,0.040513703164305574,0.0015887726731100226,35,486,5
Vj6RqA_X-IE,subqueries in mysql intermediate mysql,2024-02-20 13:00:32,131567,2136,85,661.0,2024,2,20,Tuesday,0,0.016235074144732343,0.0006460586621265211,38,489,5
RYIiOG4LsvQ,case statements in mysql intermediate mysql,2024-02-13 13:00:19,118218,2084,104,533.0,2024,2,13,Tuesday,0,0.017628449136341335,0.0008797306670726962,43,496,5
5y7tLNPVJPA,we did our best,2024-02-08 13:59:09,7157,240,5,9.0,2024,2,8,Thursday,0,0.03353360346513903,0.000698616738857063,15,501,5
_nf56aMPdZE,"microsoft copilot full review ai in word, powerpoint, excel and more!",2024-02-06 13:00:35,86175,1031,51,1485.0,2024,2,6,Tuesday,0,0.011964026689875253,0.0005918189730200175,69,503,5
XbDRYzYUmMo,top 5 emerging trends in 2024 careerfoundry webinar,2024-01-30 17:30:05,13450,474,10,4496.0,2024,1,30,Tuesday,0,0.035241635687732344,0.0007434944237918215,51,509,5
KRXSJb9ql1Y,string functions in mysql intermediate mysql series,2024-01-30 13:00:17,131852,2279,75,714.0,2024,1,30,Tuesday,0,0.017284531140976247,0.0005688195855959713,51,510,5
iTQW_nDp938,unions in mysql intermediate mysql,2024-01-23 13:00:41,127022,2283,81,442.0,2024,1,23,Tuesday,0,0.017973264473870668,0.0006376848105052668,34,517,5
lXQzD09BOH0,joins in mysql intermediate mysql,2024-01-16 13:00:42,268325,3831,168,1031.0,2024,1,16,Tuesday,0,0.01427746203298239,0.0006261064008199012,33,524,5
xtC3212t4hI,is my background in data analytics?,2024-01-15 14:22:09,30689,2072,32,57.0,2024,1,15,Monday,0,0.06751604809540877,0.0010427188895043827,35,525,5
KZKizyBS9YM,solving very hard sql interview questions on analyst builder,2024-01-11 13:00:16,22672,564,23,1023.0,2024,1,11,Thursday,0,0.02487649964714185,0.0010144671841919549,60,529,5
I0_ca6iyo6w,solving hard sql interview questions on analyst builder,2024-01-09 13:00:24,30126,619,36,1286.0,2024,1,9,Tuesday,0,0.020547035783044548,0.0011949810794662419,55,531,5
GZS7AgQ4Ksg,hard skills vs soft skills,2024-01-08 13:06:02,15032,1027,7,30.0,2024,1,8,Monday,0,0.06832091538052155,0.0004656732304417243,26,532,5
fT-8mRf_-Hk,solving medium sql interview questions on analyst builder,2024-01-04 13:00:28,33141,730,48,744.0,2024,1,4,Thursday,0,0.022027096345915934,0.0014483570200054313,57,536,5
ZHaYOC0H5KE,solving easy sql interview questions on analyst builder,2024-01-02 13:00:25,60382,1341,58,738.0,2024,1,2,Tuesday,0,0.022208605213474213,0.0009605511576297573,55,538,5
K0-8G3DgjA4,how i would become a data analyst if i had to start over in 2024 6 month plan,2023-12-26 13:00:10,413864,16306,503,661.0,2023,12,26,Tuesday,0,0.03939941623335202,0.00121537509906636,77,545,5
ZnAydTqCtFU,limit aliasing in mysql mysql beginner series,2023-12-19 13:00:24,136324,2612,87,237.0,2023,12,19,Tuesday,0,0.019160235908570758,0.0006381854992517825,45,552,5
qPOmj22QX04,practice sql and python right on your phone!,2023-12-13 16:12:42,9913,639,20,28.0,2023,12,13,Wednesday,0,0.06446080903863613,0.002017552708564511,44,557,5
XD1ul5fpnGI,analyst builder full launch! the learning platform built for data analysts,2023-12-12 13:00:21,25041,1025,110,987.0,2023,12,12,Tuesday,0,0.0409328700930474,0.004392795814863623,74,559,5
kifhSqep9UM,analyst builder full launch livestream 20 off code giveaways,2023-12-11 19:04:05,12043,475,14,16464.0,2023,12,11,Monday,0,0.03944199950178527,0.0011625010379473554,60,559,5
dCNjUOc1cBY,having vs where in mysql beginner mysql series,2023-12-05 13:00:35,160749,2854,51,226.0,2023,12,5,Tuesday,0,0.017754387274570915,0.00031726480413564,46,566,5
lEjmgE-hogg,excel is frustrating,2023-11-29 18:00:02,12338,791,11,47.0,2023,11,29,Wednesday,0,0.06411087696547252,0.0008915545469281893,20,571,5
qxj3dx0c7RM,7 mistakes to avoid in your data analytics job search careerfoundry webinar,2023-11-28 17:36:39,14274,432,11,4297.0,2023,11,28,Tuesday,0,0.03026481715006305,0.0007706319181729018,75,572,5
zgYqUP_PhQo,group by order by in mysql beginner mysql series,2023-11-28 13:00:57,215406,3715,85,646.0,2023,11,28,Tuesday,0,0.01724650195444881,0.0003946036786347641,48,573,5
MARn_mssG4A,where clause in mysql beginner mysql series,2023-11-21 13:00:24,233817,3711,123,747.0,2023,11,21,Tuesday,0,0.01587138659721064,0.0005260524256149039,43,580,5
TGAUZQJaQbQ,why data analysts hate using excel,2023-11-14 13:00:21,26104,971,140,444.0,2023,11,14,Tuesday,0,0.03719736438859945,0.005363162733680662,34,587,5
HYD8KjPB9F8,select statement in mysql beginner mysql series,2023-11-07 13:00:11,365996,4571,167,660.0,2023,11,7,Tuesday,0,0.012489207532322757,0.0004562891397720194,47,594,5
wgRwITQHszU,installing mysql and creating databases mysql for beginners,2023-10-31 12:00:54,1063296,13600,1420,724.0,2023,10,31,Tuesday,0,0.012790417719995185,0.0013354700854700855,59,601,5
1LG65qXfeQY,python beginner to advanced in one hour careerfoundry webinar,2023-10-26 16:30:05,26629,991,12,4709.0,2023,10,26,Thursday,0,0.03721506628112208,0.0004506365240902775,61,605,5
QzLz-W29Tww,how to start a data youtube channel,2023-10-24 12:00:30,9786,432,47,657.0,2023,10,24,Tuesday,0,0.04414469650521153,0.004802779480891069,35,608,5
ukIUVW2E-n0,600k livestream! analyst builder giveaways songs my mom is joining!,2023-10-20 16:18:10,5159,237,11,5107.0,2023,10,20,Friday,0,0.045939135491374294,0.0021321961620469083,67,611,5
aofB2t5o2ao,consulting and freelancing in data analytics ata show episode 25,2023-10-17 12:00:04,19576,729,264,4443.0,2023,10,17,Tuesday,0,0.03723947691050265,0.013485901103391908,64,615,5
-DwpkgtJjGw,data analyst vs business analyst,2023-10-13 13:37:21,132717,7069,49,59.0,2023,10,13,Friday,0,0.053263711506438514,0.00036920665777556754,32,619,5
h4KTy2wxYcQ,first look at analyst builder! the all-in-one platform for data analysts beta launch coming soon,2023-10-10 12:00:36,32286,854,212,1311.0,2023,10,10,Tuesday,0,0.026451093353156166,0.006566313572446261,96,622,5
LaRXtE4OG9A,dataanalysis dataanalyst datarealities,2023-10-09 12:11:16,30029,1792,27,40.0,2023,10,9,Monday,0,0.0596756468746878,0.0008991308401878185,38,623,5
J0PcCv9f4JQ,dataanalyst datacareers dataanalysis,2023-10-05 12:13:45,17358,1301,32,58.0,2023,10,5,Thursday,0,0.07495103122479549,0.0018435303606406269,36,627,5
_DGn-7134i0,"data analyst vs data engineer responsibilities, salaries, skills, education",2023-10-03 12:00:26,37520,813,44,386.0,2023,10,3,Tuesday,0,0.021668443496801706,0.0011727078891257995,75,629,5
EflE8U30pBo,data analyst qa livestream september livestream ask me anything!,2023-09-28 16:09:03,8997,284,21,5621.0,2023,9,28,Thursday,0,0.031566077581416024,0.002334111370456819,64,633,5
j_sHaBJEHMk,salary dataanalyst salarynegotiation,2023-09-28 12:37:36,14205,968,7,55.0,2023,9,28,Thursday,0,0.0681450193593805,0.0004927842309046111,36,634,5
xuyKzpJ2SaY,ai and analytics with sas sas explore recap,2023-09-26 12:00:49,23527,502,31,179.0,2023,9,26,Tuesday,0,0.021337187061673823,0.0013176350575934033,43,636,5
D0mEy6bJ2lA,my very first video,2023-09-25 13:13:18,9415,500,29,23.0,2023,9,25,Monday,0,0.053106744556558685,0.003080191184280404,19,637,5
GaoAc3-hScQ,dataanalyst careerpath,2023-09-22 11:45:01,66234,4197,30,52.0,2023,9,22,Friday,0,0.06336624694265786,0.00045293957786031344,22,640,5
bxIF9X9k2IE,"data analyst vs data scientist responsibilities, salaries, skills, education",2023-09-19 12:00:34,47807,1173,54,673.0,2023,9,19,Tuesday,0,0.024536155793084696,0.0011295416989143849,76,643,5
